name,address,type
JRI METROWEST BEHAVIORAL HEALTH CENTER,"360 MASSACHUSETTS AVENUE, 1ST FLOOR, ACTON, MA 01720",Licensed Clinic
MINUTECLINIC,"344 GREAT ROAD, ACTON, MA 01720",Licensed Clinic
NEW ENGLAND CENTER FOR HEALTHY MINDS,"289 GREAT ROAD, SUITE G1, ACTON, MA 01720",Licensed Clinic
ARBOUR COUNSELING SERVICES/BRIGHTON,"14 FORDHAM ROAD SECOND FLOOR, ALLSTON, MA 02135",Licensed Clinic
CHARLES RIVER COMMUNITY HEALTH,"30 ATHOL STREET, ALLSTON, MA 02134",Licensed Clinic
AFC URGENT CARE ARLINGTON,"1398 MASSACHUSETTS AVENUE, ARLINGTON, MA 02476",Licensed Clinic
ARLINGTON YOUTH CONSULTATION CTR,"670R MASSACHUSETTS AVENUE, ARLINGTON, MA 02476",Licensed Clinic
COLUMN HEALTH,"339 MASSACHUSETTS AVENUE, ARLINGTON, MA 02474",Licensed Clinic
MINUTECLINIC,"414 UNION STREET, ASHLAND, MA 01721",Licensed Clinic
AFC URGENT CARE BEDFORD,"154 GREAT ROAD, BEDFORD, MA 01730",Licensed Clinic
CARLETON WILLARD VILLAGE OPT,"100 OLD BILLERICA ROAD, BEDFORD, MA 01730",Licensed Clinic
EDINBURG CENTER (THE),"205 BURLINGTON ROAD, 1ST FL, BEDFORD, MA 01730",Licensed Clinic
CONVENIENTMD URGENT CARE,"245 HARTFORD  AVENUE, BELLINGHAM, MA 02021",Licensed Clinic
AFC URGENT CARE BEVERLY,"50 DODGE STREET GRND FL, BEVERLY, MA 01915",Licensed Clinic
BEVERLY CLINIC,"800 CUMMINGS CENTER SUITE 266T, BEVERLY, MA 01915",Licensed Clinic
"HEALTH QUARTERS, INC.","100 CUMMINGS CENTER 100-E, BEVERLY, MA 01915",Licensed Clinic
MINUTECLINIC,"19 DODGE STREET, BEVERLY, MA 01915",Licensed Clinic
NORTH SHORE COUNSELING CENTER,"100 CUMMINGS CENTER SUITE 307-E, BEVERLY, MA 01915",Licensed Clinic
2020 INC,"33 ARCH STREET, 17TH FLOOR, BOSTON, MA 02110",Licensed Clinic
ALBERT & JESSIE DANIELSEN INSTITUTE,"185 BAY STATE ROAD, BOSTON, MA 02215",Licensed Clinic
B.U. DENTAL HEALTH CENTER,"930 COMMONWEALTH AVE SOUTH STE 101, BOSTON, MA 02215",Licensed Clinic
B.U. GOLDMAN SCHOOL OF DENTAL MEDIC,"635 ALBANY STREET, FLOORS 1-7, BOSTON, MA 02118",Licensed Clinic
BHCHP FAMILY CARE CLINIC,"1785 COLUMBUS AVENUE, STE 200, BOSTON, MA 02119",Licensed Clinic
BOSTON ASAP,"25 KINGSTON STREET, 3RD FLOOR, BOSTON, MA 02108",Licensed Clinic
BOSTON HC HOMELESS @ HOPEFOUND,"170 MORTON STREET JAMAICA PLAIN, BOSTON, MA 02130",Licensed Clinic
BOSTON HC HOMELESS @ MASS GENERAL,"55 FRUIT STREET, BOSTON, MA 02114",Licensed Clinic
BOSTON HC HOMELESS @ SOUTH HMPTN ST,"112 SOUTH HAMPTON STREET, BOSTON, MA 02118",Licensed Clinic
BOSTON HC HOMELESS@NE SH HOMELESS V,"17 COURT STREET, BOSTON, MA 02108",Licensed Clinic
BOSTON HC HOMELESS@ST FRANCIS HOUSE,"39 BOYLSTON STREET, BOSTON, MA 02118",Licensed Clinic
BOSTON HEAL CHP WOMEN'S CLINIC,"363 ALBANY STREET, BOSTON, MA 02118",Licensed Clinic
BOSTON HEALTH CARE HOMELESS PROGRAM,"444 HARRISON AVENUE, BOSTON, MA 02118",Licensed Clinic
BOSTON HEALTH CARE HOMELESS PROGRAM,"780 ALBANY STREET, 1ST & 2ND FLOOR, BOSTON, MA 02118",Licensed Clinic
BOSTON UNIVERSITY REHAB SERVICES,"635 COMMONWEALTH AVENUE, 6TH FLOOR, BOSTON, MA 02215",Licensed Clinic
BRIGHTON ALLSTON MENTAL HLTH ASSOC,"77B WARREN STREET, BASEMENT, BOSTON, MA 02135",Licensed Clinic
BU PT CTR @ RYAN CTR SPRTS MED & RE,"915 COMMONWEALTH AVENUE, REAR, BOSTON, MA 02215",Licensed Clinic
CCA PRIMARY CARE,"30 NORTHAMPTON STREET, BOSTON, MA 02118",Licensed Clinic
CENTER FOR EFFECTIVE CHILD THERAPY,"53 PARKER HILL AVENUE, BOSTON, MA 02120",Licensed Clinic
CHILDREN'S SRVCS OF ROXBURY BHVL HC,"520 DUDLEY STREET   ROXBURY, BOSTON, MA 02119",Licensed Clinic
CTR ANXIETY & RELATED DISORDER @ BU,"900 COMMONWEALTH AVNUE, 2ND FLOOR, BOSTON, MA 02215",Licensed Clinic
DIMOCK COMMUNITY HEALTH CENTER,"45 DIMOCK STREET, BOSTON, MA 02119",Licensed Clinic
EAST BOSTON COUNSELING CTR,"14 PORTER STREET, BOSTON, MA 02128",Licensed Clinic
EATING DISORDER CENTER OF BOSTON,"419 BOYLSTON STREET, SUITE #501B, BOSTON, MA 02116",Licensed Clinic
FAMILIAS UNIDAS OUTPATIENT CLINIC,"245 EUSTIS STREET ROXBURY, BOSTON, MA 02119",Licensed Clinic
FENWAY COMMUNITY HEALTH CENTER,"1340 BOYLSTON ST, 1 2 3 4 6 5 & 7 F, BOSTON, MA 02115",Licensed Clinic
FENWAY SOUTH END,"142 BERKELEY ST.-2ND FL-SUITE 203, BOSTON, MA 02115",Licensed Clinic
FORSYTH DENTAL HYGIENE PROGRAM,"179 LONGWOOD AVENUE, BOSTON, MA 02115",Licensed Clinic
FREEDOM TRAIL CLINIC,"25 STANIFORD STREET, BOSTON, MA 02116",Licensed Clinic
GAVIN FOUNDATION CTR FOR RECOVERY S^,"210 OLD COLONY AVENUE, BOSTON, MA 02127",Licensed Clinic
GEIGER-GIBSON COMMUNITY HEALTH CTR,"250 MOUNT VERNON STREET, BOSTON, MA 02125",Licensed Clinic
HARVARD SCHOOL OF DENTAL MEDICAL,"188 LONGWOOD AVENUE, BOSTON, MA 02115",Licensed Clinic
HARVARD ST NEIGHBORHOOD HEALTH CTR,"632 BLUE HILL AVENUE, BOSTON, MA 02121",Licensed Clinic
HARVARD VAN MED ASSO-COPLEY PRACTIC,"165 DARTMOUTH STREET, BOSTON, MA 02116",Licensed Clinic
HARVARD VAN MED ASSO-KENMORE PRACTI,"133 BROOKLINE AVE, 5TH FLOOR, BOSTON, MA 02215",Licensed Clinic
HARVARD VAN MED ASSO-POST OFFICE SQ,"147 MILK STREET, BOSTON, MA 02109",Licensed Clinic
HARVARD VAN MED ASSO-WEST ROXBURY P,"291 INDEPENDENCE DRIVE 1ST FLOOR, BOSTON, MA 02167",Licensed Clinic
HCWW-WEST STREET,"41 WEST STREET, 6TH FLOOR, BOSTON, MA 02111",Licensed Clinic
INSTITUTE FOR HEALTH & RECOVERY INC,"105 CHAUNCY STREET SUITE 602, BOSTON, MA 02111",Licensed Clinic
JAMAICA PLAIN MSPCC FAMILY CNSLG CT,"3815 WASHINTON STREET, 2ND FLOOR, BOSTON, MA 02130",Licensed Clinic
"JOSLIN CLINIC, INC,","1 JOSLIN PLACE, BOSTON, MA 02215",Licensed Clinic
LIGHTHOUSE BEHAVIORAL HEALTH & WELLNESS CENTER,"ONE WESTINGHOUSE PLAZA STE216A, FL2, BOSTON, MA 02136",Licensed Clinic
MASS GENERAL BRIGHAM  URGENT CARE BACK BAY,"137 STUART STREET STE A-7, BOSTON, MA 02116",Licensed Clinic
MCINNIS HOUSE CLINIC,"780 ALBANY STREET, 3RD & 4TH FLOOR, BOSTON, MA 02130",Licensed Clinic
MEDICAL AREA HEALTH SERVICE,"275 LONGWOOD AVE, VANDERBILT HALL, BOSTON, MA 02115",Licensed Clinic
MICHAEL J GILL MNTL HLTH & WELLNS C,"66 CANAL STREET, BOSTON, MA 02114",Licensed Clinic
NORTH END WATERFRONT HEALTH,"332 HANOVER STREET, BOSTON, MA 02113",Licensed Clinic
NU SPEECH-LANGUAGE & HEARING CENTER,"503 BEHRAKIS HLTH SC CTR,30 LEON ST, BOSTON, MA 02115",Licensed Clinic
OSIRIS FAMILY INSTITUTE LLC,"184 DUDLEY STREET STE 107 ROXBURY, BOSTON, MA 02119",Licensed Clinic
PET/CT SERVCS BY TUFTS MC & SHIELDS,"800 WASHINGTON STREET, BOSTON, MA 02111",Licensed Clinic
PLANNED PRNTHD/PRETRM HLTH SRV-GT B,"1055 COMMONWEALTH AVENUE, BOSTON, MA 02215",Licensed Clinic
REFUGEE & IMMIGRANT ASSISTANCE CENT,"253 ROXBURY STREET, BOSTON, MA 02119",Licensed Clinic
RENFREW CENTER OF MASS LLC THE,"870R COMMONWEALTH AVENUE, BOSTON, MA 02215",Licensed Clinic
ROXBURY MULTI-SERVICE CENTER INC,"321 BLUE HILL AVENUE, BOSTON, MA 02121",Licensed Clinic
SHIELDS MRI BOSTON,"161 GRANITE AVENUE, BOSTON, MA 02124",Licensed Clinic
SIDNEY BORUM JR.HLTH CTR OF FENWAY,"75 KNEELAND STREET, BOSTON, MA 02115",Licensed Clinic
SOUTH COVE COMMUNITY HEALTH CENTER,"145 SOUTH STREET, GARDEN LEVEL, 1FL, BOSTON, MA 02111",Licensed Clinic
SOUTH COVE COMMUNITY HEALTH CENTER,"885 WASHINGTON STREET, BOSTON, MA 02111",Licensed Clinic
SUITE SIX MED SPA,"311 SUMMER ST, 1ST FL, BOSTON, MA 02210",Licensed Clinic
TUFTS UNIVERSITY DENTAL CLINIC,"1 KNEELAND STREET 11 & 12 FLS, BOSTON, MA 02111",Licensed Clinic
WHITTIER STREET HC AT QUINCY COMMON,"278 BLUE HILL AVENUE 1ST FL, BOSTON, MA 02119",Licensed Clinic
WHITTIER STREET HEALTH CENTER,"1290 TREMONT STREET 1,2,3,4&5 FLS, BOSTON, MA 02120",Licensed Clinic
WHITTIER STREET HEALTH CENTER (MOBILE VAN)^,"1290 TREMONT STREET, BOSTON, MA 02120",Licensed Clinic
MOBILE HEALTH VAN^,"1290 TREMONT STREET, BOSTON, MA 02120",Licensed Clinic
BAY COAST BEHAVIORAL,"140 WOOD ROAD, SUITE 300, BRAINTREE, MA 02184",Licensed Clinic
DISCOVERY DAY TREATMENT,"1501 WASHINGTON STREET, BRAINTREE, MA 02184",Licensed Clinic
HARVARD VAN MED ASSO-BRAINTREE PRAC,"111 GROSSMAN DRIVE, BRAINTREE, MA 02184",Licensed Clinic
MEDI-WEIGHTLOSS BRAINTREE^,"340 WOOD ROAD, BRAINTREE, MA 02184",Licensed Clinic
MINUTECLINIC,"270 GROVE STREET, BRAINTREE, MA 02184",Licensed Clinic
PM PEDIATRICS AT BRAINTREE,"97 PEARL STREET, BRAINTREE, MA 02184",Licensed Clinic
"THE FAMILY WELLNESS CENTER, INC.","220 FORBES ROAD, SUITE 3300, BRAINTREE, MA 02184",Licensed Clinic
WALDEN BEHAVIORAL CARE - WALTHAM,"150 GROSSMAN DRIVE, SUITE 404, BRAINTREE, MA 02184",Licensed Clinic
CHARLES RIVER COMMUNITY HEALTH,"495 WESTERN AVENUE, BRIGHTON, MA 02135",Licensed Clinic
COLUMN HEALTH BRIGHTON,"71/73 WASHINGTON STREET, BRIGHTON, MA 02135",Licensed Clinic
SHIELDS MRI BRIGHTON,"385 WESTERN AVENUE, BRIGHTON, MA 02135",Licensed Clinic
BROOKLINE COMMUNITY MENTAL HLTH CTR,"43 GARRISON ROAD, BROOKLINE, MA 02445",Licensed Clinic
COOLIDGE CORNER IMAGING,"356 HARVARD STREET, BROOKLINE, MA 02446",Licensed Clinic
DREAM SPA  MEDICAL,"1340 BEACON STREET, GROUND FLOOR, BROOKLINE, MA 02446",Licensed Clinic
MASS GENERAL BRIGHAM URGENT CARE BROOKLINE,"1285 BEACON STREET, 1ST FLOOR, BROOKLINE, MA 02446",Licensed Clinic
NEW HORIZONS MEDICAL - BROOKLINE^,"358 HARVARD STREET, BROOKLINE, MA 02446",Licensed Clinic
AFC URGENT CARE,"90 MIDDLESEX TURNPIKE, UNIT E, BURLINGTON, MA 01803",Licensed Clinic
CONVENIENTMD URGENT CARE - BURLINGTON,"181 CAMBRIDGE STREET, BURLINGTON, MA 01803",Licensed Clinic
HARVARD VAN MED ASSO-BURLINGTON PRA,"20 WALL STREET 1ST FLOOR, BURLINGTON, MA 01803",Licensed Clinic
NOVA AESTHETIC CENTER,"83 CAMBRIDGE STREET, SUITE 3E, BURLINGTON, MA 01803",Licensed Clinic
CAREWELL URG CARE/CAMB CONCORD AVE,"601 CONCORD AVENUE, CAMBRIDGE, MA 02138",Licensed Clinic
CAREWELL URGENT CARE/CAMBRIDGE,"1400 CAMBRIDGE STREET, CAMBRIDGE, MA 02139",Licensed Clinic
ETHIO DENTAL CARE,"545 CONCORD AVENUE SUITE 7, CAMBRIDGE, MA 02138",Licensed Clinic
FORSYTH INST FORSYTH FACULTY ASSOC,"245 FIRST STREET 17TH FLOOR, CAMBRIDGE, MA 02142",Licensed Clinic
HARVARD UNIVERSITY HEALTH SERVICES,"75 MOUNT AUBURN STREET, 6TH FL, CAMBRIDGE, MA 02138",Licensed Clinic
HARVARD VAN MED ASSO-CAMBRIDGE PRAC,"1611 CAMBRIDGE STREET, CAMBRIDGE, MA 02238",Licensed Clinic
INSTITUTE FOR HEALTH & RECOVERY INC,"349 BROADWAY, CAMBRIDGE, MA 02139",Licensed Clinic
LAW SCHOOL HEALTH SERVICE,"1563 MASSACHUSETTS AVE, POUND HALL, CAMBRIDGE, MA 02138",Licensed Clinic
MASS GENERAL BRIGHAM URGENT CARE CENTRAL SQUARE,"76 PROSPECT STREET, CAMBRIDGE, MA 02139",Licensed Clinic
MINUTECLINIC,"36 WHITE STREET CAMBRIDGE, CAMBRIDGE, MA 02140",Licensed Clinic
MINUTECLINIC,"6 JOHN F. KENNEDY STREET, CAMBRIDGE, MA 02138",Licensed Clinic
MINUTECLINIC,"215 ALEWIFE BROOK PARKWAY, CAMBRIDGE, MA 02138",Licensed Clinic
MIT MEDICAL,"25 CARLETON STREET, CAMBRIDGE, MA 02139",Licensed Clinic
NORTH CHARLES MENTAL HEALTH,"54 WASHBURN AVENUE, CAMBRIDGE, MA 02140",Licensed Clinic
VINFEN CAMBRIDGE CLINIC,"950 CAMBRIDGE STREET, CAMBRIDGE, MA 02141",Licensed Clinic
HARVARD DENTAL CENTER CAMBRIDGE,"114 MOUNT AUBURN STREET, SUITE A, CAMBRIDGE, MA 02138",Licensed Clinic
TUFTS DENTAL @ MASS HOSPITAL SCHOOL,"3 RANDOLPH ST BRADFORD BLDG 2ND FL, CANTON, MA 02021",Licensed Clinic
NEW HEALTH @ CHARLESTOWN HIGH,"240 MEDFORD STREET, CHARLESTOWN, MA 02129",Licensed Clinic
NEW HEALTH CHARLESTOWN,"15 TUFTS STREET, CHARLESTOWN, MA 02129",Licensed Clinic
CHELSEA COUNSELING CENTER,"301 BROADWAY, CHELSEA, MA 02150",Licensed Clinic
CHELSEA SCH DENTAL CTR@ WILLIAM SCH,"180 WALNUT STREET, CHELSEA, MA 02150",Licensed Clinic
MASS GENERAL IMAGING CHELSEA,"80 EVERETT AVENUE SUITE 115, CHELSEA, MA 02150",Licensed Clinic
MENTOR SOUTH BAY,"70 EVERETT AVENUE, STE 515, CHELSEA, MA 02150",Licensed Clinic
MEDIWEIGHTLOSS OF COHASSETT,"760 CHIEF JUSTICE CUSHING HWY, #1A, COHASSET, MA 02025",Licensed Clinic
ELIOT CENTER,"86 BAKER AVE EXTENSION SUITE 100, CONCORD, MA 01742",Licensed Clinic
HARVARD VANGUARD MED ASSOC CONCORD,"330 BAKER AVENUE, CONCORD, MA 01742",Licensed Clinic
SELECT PHYSICAL THERAPY,"9 POND LANE STE 2B&2F DAMONMILL SQ, CONCORD, MA 01742",Licensed Clinic
"SHIELDS PET-CT AT EMERSON HOSPITAL, LLC*","54 BAKER AVENUE EXT, SUITE 104, CONCORD, MA 01742",Licensed Clinic
DANVERS CLINIC^,"111 MIDDLETON ROAD, DANVERS, MA 01923",Licensed Clinic
HARBOR STREET CLINIC,"10 HARBOR STREET, DANVERS, MA 01923",Licensed Clinic
MINUTECLINIC,"311 NEWBURY STREET, DANVERS, MA 01923",Licensed Clinic
SOVNER CENTER,"125 LIBERTY STREET 2ND FL, DANVERS, MA 01923",Licensed Clinic
"ABELARD PSYCHOTHERAPY, INC-DEDHAM","30 EASTBROOK ROAD, DEDHAM, MA 02062",Licensed Clinic
"BETH ISRAEL LAHEY HEALTH URGENT CARE - DEDHAM & OB/GYN, HARVARD MEDICAL FACULTY PHYSICIANS AT BIDMC","910 WASHINGTON STREET, LEVEL 1, DEDHAM, MA 02026",Licensed Clinic
CENTER FOR DIAGNOSTIC IMAGING,"200 PROVIDENCE HIGHWAY SUITE 210, DEDHAM, MA 02026",Licensed Clinic
CONVENIENTMD URGENT CARE - DEDHAM,"983 PROVIDENCE HIGHWAY, DEDHAM, MA 02026",Licensed Clinic
ESSENCE OF PEARLS COUNSELING,"16 MILTON STREET, SUITE 6, DEDHAM, MA 02026",Licensed Clinic
ESSENTIAL ADVANCED SKINCARE AND MEDSPA,"358 WASHINGTON STREET, SUITE 101, DEDHAM, MA 02026",Licensed Clinic
MINUTECLINIC,"947 PROVIDENCE HIGHWAY, DEDHAM, MA 02026",Licensed Clinic
PM PEDIATRICS AT DEDHAM,"719 PROVIDENCE HIGHWAY, DEDHAM, MA 02026",Licensed Clinic
SHIELDS IMAGING DEDHAM,"40 ALLIED DRIVE, DEDHAM, MA 02026",Licensed Clinic
STRATTUS...TILL'S MENTAL HEALTH CLINIC,"20 EASTBROOK ROAD, DEDHAM, MA 02026",Licensed Clinic
MASSACHUSETTS MENTOR OUTPATIENT CLINIC - DEDHAM SITE,"280 BRIDGE STRRET, DEDHAM, MA 02026",Licensed Clinic
ADOLESCENT CHILD LIFE CENTER,"895 BLUE HILL AVENUE, DORCHESTER, MA 02124",Licensed Clinic
COMMONWEALTH M.H. & WELLNESS CENTER,"895 BLUE HILL AVENUE, DORCHESTER, MA 02124",Licensed Clinic
COMMUNITY SVCS INSTITUTE,"1100 WASHINGTON STREET, STE 206, DORCHESTER, MA 02124",Licensed Clinic
DANIEL DRISCOLL - NEPOSNET HLTH CTR,"398 NEPONSET AVENUE, DORCHESTER, MA 02122",Licensed Clinic
MENTOR SOUTH BAY,"415 NEPONSET AVENUE 3FL, DORCHESTER, MA 02122",Licensed Clinic
UPHAM'S CORNER HEALTH CENTER,"415 COLUMBIA ROAD, DORCHESTER, MA 02125",Licensed Clinic
UPHAM'S CORNER HEALTH CENTER SAT.,"636 COLUMBIA RD(ETHEL W LENOX BLDG), DORCHESTER, MA 02125",Licensed Clinic
UPHAM'S CORNER HEALTH CENTER-SAT.,"500 COLUMBIA RD, DORCHESTER, MA 02125",Licensed Clinic
EVERETT OUTPATIENT CLINIC,"173 CHELSEA STREET, EVERETT, MA 02149",Licensed Clinic
"GOTHAMS, LLC^","103 GARLAND STREET, EVERETT, MA 02149",Licensed Clinic
ADVOCATES COMM COUNSELING-FRAMINGHA,"354 WAVERLY ST SECOND FLOOR, FRAMINGHAM, MA 01702",Licensed Clinic
ADVOCATES COMMUNITY COUNSELING,"1881 WORCESTER ROAD, FRAMINGHAM, MA 01701",Licensed Clinic
AUDIOLOGICAL EVALUATION UNIT,"848 CENTRAL STREET, FRAMINGHAM, MA 01701",Licensed Clinic
BETHANY HEALTH CARE CLINIC,"97 BETHANY ROAD, FRAMINGHAM, MA 01701",Licensed Clinic
CAREWELL URGENT CARE/FRAMINGHAM,"50 WORCESTER ROAD UNIT 3, FRAMINGHAM, MA 01702",Licensed Clinic
CONVENIENTMD URGENT CARE - FRAMINGHAM^,"236 COCHITUATE ROAD, FRAMINGHAM, MA 01701",Licensed Clinic
EDWARD M KENNEDY COMMUNITY HLTH CTR,"354 WAVERLY STREET, 1ST FLOOR, FRAMINGHAM, MA 01702",Licensed Clinic
EDWARD MKCHC FRAMINGHAM HIGH SCHOOL,"115 A STREET, FRAMINGHAM, MA 01701",Licensed Clinic
FRAMINGHAM DAY HOSPITAL,"98 LINCOLN STREET, FRAMINGHAM, MA 01702",Licensed Clinic
FRAMINGHAM/WALTHAM WIC ON WHEELS,"300 HOWARD STREET, FRAMINGHAM, MA 01702",Licensed Clinic
"HEALTHDRIVE BEHAVIORAL HEALTH SERVICES, PLLC^","100 CROSSING BOULEVARD, SUITE 300, FRAMINGHAM, MA 01702",Licensed Clinic
LHIP PREVENTION CLINIC AND WELLNESS CENTER,"88 WAVERLY STREET, FRAMINGHAM, MA 01702",Licensed Clinic
METROWEST MRI,"761 WORCESTER ROAD-FLOO1, SUITE 2, FRAMINGHAM, MA 01701",Licensed Clinic
"NEW HORIZONS MEDICAL, PC","214 HOWARD STREET, FRAMINGHAM, MA 01702",Licensed Clinic
SHIELDS MRI OF FRAMINGHAM,"14 COCHITUATE ROAD, FRAMINGHAM, MA 01701",Licensed Clinic
SMOC BEHAVORIAL HEALTH SERVICES,"7 BISHOP STREET, BUILDING 29, FRAMINGHAM, MA 01702",Licensed Clinic
SPECTRUM HEALTH SYSTEMS INC,"68 FRANKLIN STREET, FRAMINGHAM, MA 01701",Licensed Clinic
WAYSIDE CAMPUS,"ONE FREDERICK ABBOTT WAY, FRAMINGHAM, MA 01701",Licensed Clinic
WAYSIDE METROWEST COUNSELING CENTER,"88 LINCOLN STREET, FRAMINGHAM, MA 01702",Licensed Clinic
COMMUNITY CARE AND COUNSELING SERVICES,"100 CONCORD STREET, SUITE 2B, FRAMINGHAM, MA 01702",Licensed Clinic
ARBOUR COUNSELING SERVICES,"38 POND STREET, SUITE 101, FRANKLIN, MA 02038",Licensed Clinic
MEDPOST URGENT CARE - FRANKLIN,"648 OLD WEST CENTRAL STREET, FRANKLIN, MA 02038",Licensed Clinic
MINUTECLINIC,"272 EAST CENTRAL STREET, FRANKLIN, MA 02038",Licensed Clinic
PROFESSIONAL PT AND SPORTS MEDICINE,"620 OLD WEST CENTRAL STREET, FRANKLIN, MA 02038",Licensed Clinic
GLOUCESTER CLINIC,"298 WASHINGTON STREET, GLOUCESTER, MA 01930",Licensed Clinic
GLOUCESTER DENTAL HEALTH CENTER,"99 PROSPECT STREET, GLOUCESTER, MA 01930",Licensed Clinic
GLOUCESTER FAMILY HEALTH CENTER,"302 WASHINGTON STREET, GLOUCESTER, MA 01930",Licensed Clinic
